# Cu liquid config: 64 atoms, box = 9.4431 Ang
# density = 8.02 g/cm^3
ATOMIC_POSITIONS (crystal)
  Cu  0.1225655097  0.2581130748  0.4057707278
  Cu  0.9691839481  0.1623171248  0.8572936736
  Cu  0.1630452711  0.3379619490  0.6777228174
  Cu  0.6165341716  0.9549361641  0.4114007809
  Cu  0.9396418120  0.9267486928  0.7155717419
  Cu  0.0194621108  0.7973993001  0.9007551885
  Cu  0.5238628198  0.1971626889  0.1807932306
  Cu  0.8453951391  0.0872410933  0.5462064291
  Cu  0.2034238833  0.3012803379  0.9771544765
  Cu  0.2766251136  0.6835101225  0.7673851683
  Cu  0.2882322664  0.1465595510  0.7721605910
  Cu  0.9836215855  0.6463069137  0.5230638925
  Cu  0.1141955085  0.9124440952  0.3327868361
  Cu  0.7907410570  0.9053367528  0.2058457372
  Cu  0.7243141652  0.2773941112  0.7237042641
  Cu  0.4311337134  0.3254907078  0.6968718015
  Cu  0.4237493252  0.7284237989  0.4374841751
  Cu  0.7584261967  0.4767873760  0.4181667652
  Cu  0.2739513152  0.6104304680  0.2249908930
  Cu  0.6838208148  0.8495622462  0.6771857655
  Cu  0.9617927990  0.2297873005  0.0778097242
  Cu  0.8023256856  0.5940841684  0.9031709654
  Cu  0.7040933333  0.3258926003  0.1835135801
  Cu  0.4912968097  0.3440181453  0.9374042415
  Cu  0.2606108131  0.8593534824  0.1621016185
  Cu  0.6004953672  0.6203751483  0.3324980684
  Cu  0.1192514290  0.4578085318  0.1023875280
  Cu  0.6582066452  0.7395753055  0.0354057405
  Cu  0.0172320055  0.5318606843  0.2843735825
  Cu  0.2204859778  0.7427974489  0.5358197977
  Cu  0.0446852522  0.6051692210  0.7517566194
  Cu  0.0872765275  0.7244725776  0.2093719005
  Cu  0.6006267077  0.5242701603  0.8025961050
  Cu  0.4539720747  0.2485194419  0.4881048305
  Cu  0.0096630811  0.9834251182  0.1336101931
  Cu  0.8630501347  0.4449885593  0.0660943125
  Cu  0.3591044316  0.7167849096  0.9823181126
  Cu  0.3042166466  0.1483018304  0.0914998215
  Cu  0.3435823505  0.8840424565  0.8109064896
  Cu  0.5043503600  0.8955723583  0.1568855825
  Cu  0.6883042638  0.0815420103  0.1119971479
  Cu  0.4264335477  0.0337948045  0.3224883927
  Cu  0.5441891620  0.9193309758  0.9175080375
  Cu  0.8959449273  0.7363678433  0.0628519907
  Cu  0.1746214915  0.9730048602  0.6767303597
  Cu  0.2012971916  0.5043279243  0.5068687704
  Cu  0.9524176135  0.3429080244  0.5019274014
  Cu  0.4758274335  0.5235791162  0.1577950389
  Cu  0.7614143637  0.9608352210  0.9003524224
  Cu  0.5853143482  0.6283567207  0.6025587561
  Cu  0.5286230368  0.0793738491  0.6157062493
  Cu  0.4428247677  0.8167784570  0.6341455893
  Cu  0.3291373744  0.4050907252  0.2633759417
  Cu  0.8007111752  0.7425655885  0.3779522568
  Cu  0.7102796512  0.3250055313  0.9308506848
  Cu  0.0347492279  0.4099406055  0.8433463472
  Cu  0.4744690012  0.4608894683  0.4761548449
  Cu  0.9632536067  0.0989430080  0.3071070646
  Cu  0.3348803883  0.4916779328  0.8556428759
  Cu  0.9514093284  0.9080642550  0.4756190754
  Cu  0.2535765017  0.1269628441  0.5340676735
  Cu  0.6765966303  0.1589456360  0.3977467547
  Cu  0.8109724260  0.4902413928  0.6468607954
  Cu  0.1659087359  0.0084155121  0.9237931461
